Word,Negative,Positive
,,
abandoning,1,0
abandonment,1,0
abandonments,1,0
abandons,1,0
abducted,1,0
abduction,1,0
abductions,1,0
abilities,0,1
ability,0,1
aboard,0,1
absolve,0,1
absolved,0,1
absolves,0,1
absolving,0,1
abuse,1,0
abused,1,0
abuser,1,0
abusers,1,0
abuses,1,0
abusing,1,0
abusive,1,0
abusively,1,0
abusiveness,1,0
abusivenesses,1,0
accept,0,1
acceptabilities,0,1
acceptability,0,1
acceptable,0,1
acceptableness,0,1
acceptably,0,1
acceptance,0,1
acceptances,0,1
acceptant,0,1
acceptation,0,1
acceptations,0,1
accepted,0,1
accepting,0,1
accepts,0,1
accident,1,0
accidental,1,0
accidentally,1,0
accidents,1,0
accomplish,0,1
accomplished,0,1
accomplishes,0,1
accusation,1,0
accusations,1,0
accuse,1,0
accused,1,0
accuses,1,0
accusing,1,0
achievable,0,1
active,0,1
actively,0,1
activeness,0,1
activenesses,0,1
actives,0,1
adequate,0,1
admirability,0,1
admirable,0,1
admirableness,0,1
admirably,0,1
admiral,0,1
admirals,0,1
admiralties,0,1
admiralty,0,1
admiration,0,1
admirations,0,1
admire,0,1
admired,0,1
admirer,0,1
admirers,0,1
admires,0,1
admiring,0,1
admiringly,0,1
adorability,0,1
adorable,0,1
adorableness,0,1
adorably,0,1
adoration,0,1
adorations,0,1
adore,0,1
adored,0,1
adorer,0,1
adorers,0,1
adores,0,1
adoring,0,1
adoringly,0,1
advanced,0,1
advantage,0,1
advantaged,0,1
advantageous,0,1
adverse,1,0
adversely,1,0
adverseness,1,0
adversities,1,0
adversity,1,0
affected,1,0
affection,0,1
affectional,0,1
affectionally,0,1
affectionate,0,1
affectionately,0,1
affectioned,0,1
affectionless,0,1
affections,0,1
afflicted,0,1
affronted,0,1
aggravate,1,0
aggravated,1,0
aggravates,1,0
aggravating,1,0
aggress,1,0
aggressed,1,0
aggresses,1,0
aggressing,1,0
aggression,1,0
aggressions,1,0
aggressive,1,0
aggressively,1,0
aggressiveness,1,0
aggressivities,1,0
aggressivity,1,0
aggressor,1,0
aggressors,1,0
agitate,1,0
agitated,1,0
agitatedly,1,0
agitates,1,0
agitating,1,0
agitation,1,0
agitational,1,0
agitations,1,0
agitative,1,0
agonise,1,0
agonised,1,0
agonises,1,0
agonising,1,0
agonize,1,0
agonized,1,0
agonizes,1,0
agonizing,1,0
agonizingly,1,0
agony,1,0
agree,0,1
agreeability,0,1
agreeable,0,1
agreeableness,0,1
agreeablenesses,0,1
agreeably,0,1
agreed,0,1
agreeing,0,1
agreement,0,1
agreements,0,1
agrees,0,1
alarm,1,0
alarmed,1,0
alarming,1,0
alarmingly,1,0
alert,1,0
alright,0,1
amaze,0,1
amazed,0,1
amazedly,0,1
amazement,0,1
amazements,0,1
amazes,0,1
amazing,0,1
ambitious,0,1
amusable,0,1
amuse,0,1
amused,0,1
amusedly,0,1
amusement,0,1
amusements,0,1
amuser,0,1
amusers,0,1
amuses,0,1
amusing,0,1
amusingly,0,1
amusingness,0,1
amusive,0,1
anger,1,0
angered,1,0
angering,1,0
angerly,1,0
angers,1,0
angrier,1,0
angriest,1,0
angrily,1,0
angriness,1,0
angry,1,0
anguish,1,0
anguished,1,0
anguishes,1,0
anguishing,1,0
animosity,1,0
annoy,1,0
annoyance,1,0
annoyances,1,0
annoyed,1,0
annoyer,1,0
annoyers,1,0
annoying,1,0
annoys,1,0
antagonism,1,0
antagonisms,1,0
antagonist,1,0
antagonistic,1,0
antagonistically,1,0
antagonists,1,0
antagonize,1,0
antagonized,1,0
antagonizes,1,0
antagonizing,1,0
anti,1,0
anticipation,0,1
anxieties,1,0
anxiety,1,0
anxious,1,0
anxiously,1,0
anxiousness,1,0
apologise,0,1
apologised,0,1
apologises,0,1
apologising,0,1
apologize,0,1
apologized,0,1
apologizes,0,1
apologizing,0,1
apology,0,1
appease,0,1
appeased,0,1
appeases,0,1
appeasing,0,1
applaud,0,1
applauded,0,1
applauding,0,1
applauds,0,1
applause,0,1
appreciate,0,1
appreciated,0,1
appreciates,0,1
appreciating,0,1
appreciation,0,1
appreciations,0,1
appreciative,0,1
appreciatively,0,1
appreciativeness,0,1
appreciator,0,1
appreciators,0,1
appreciatory,0,1
apprehensible,0,1
approval,0,1
approved,0,1
approves,0,1
arguable,1,0
arguably,1,0
argue,1,0
argued,1,0
arguer,1,0
arguers,1,0
argues,1,0
arguing,1,0
argument,1,0
argumentative,1,0
argumentatively,1,0
argumentive,1,0
arguments,1,0
arrest,1,0
arrested,1,0
arrests,1,0
arrogance,1,0
arrogances,1,0
arrogant,1,0
arrogantly,1,0
ashamed,1,0
ashamedly,1,0
ass,1,0
assassination,1,0
assassinations,1,0
assault,1,0
assaulted,1,0
assaulting,1,0
assaultive,1,0
assaults,1,0
asset,0,1
assets,0,1
assholes,1,0
assure,0,1
assured,0,1
assuredly,0,1
assuredness,0,1
assurer,0,1
assurers,0,1
assures,0,1
assurgent,0,1
assuring,0,1
assuror,0,1
assurors,0,1
astonished,0,1
astound,0,1
astounded,0,1
astounding,0,1
astoundingly,0,1
astounds,0,1
attachment,0,1
attachments,0,1
attack,1,0
